fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime,RR-Chain_Comp,RR-Chain_NoComp,RR_Comp,RR_NoComp,RF_Comp,RF_NoComp,FR_Comp,FR_NoComp,FF_Comp,FF_NoComp,RRGapOne_Comp,RRGapOne_NoComp,RRGapTwo_Comp,RRGapTwo_NoComp,RRGapThree_Comp,RRGapThree_NoComp,RRGapFour_Comp,RRGapFour_NoComp,RRGapFive_Comp,RRGapFive_NoComp,RRGapSix_Comp,RRGapSix_NoComp,RRGapSeven_Comp,RRGapSeven_NoComp,NoComp_Comp,NoComp_NoComp
benjamin_rogers_001_1_1.pst.152.xls,6563,10042,10796,1867,1326,225,146,624,903,9209,0,0,0,0,100,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,177
phillip_allen_000_1_1.pst.302.xls,13291,14418,42611,233,494,844,1,27,339,29341,0,0,0,0,149,13238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
andy_zipper_000_1_1.pst.111.xls,2630,7446,7544,16,14,102,0,0,12,6452,0,0,0,0,2,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benjamin_rogers_000_1_1.pst.170.xls,20470,27249,31477,6140,4705,778,369,2275,2450,23164,0,0,0,0,1379,5531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,507
chris_germany_000_1_2.pst.208.xls,25451,47812,66124,11831,8150,2148,202,2017,6513,55521,0,0,0,0,258,7380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,1177
daren_farmer_000_1_1.pst.100.xls,6327,11757,23129,1963,1644,781,25,545,1301,20849,0,0,0,0,47,1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,271
daren_farmer_000_1_1.pst.101.xls,7837,14181,26511,2535,2072,857,29,604,1654,23634,0,0,0,0,63,1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,326
daren_farmer_000_1_1.pst.102.xls,9370,16604,29916,3062,2478,964,33,664,1989,26445,0,0,0,0,79,2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,377
daren_farmer_000_1_1.pst.103.xls,9374,16612,29920,3070,2482,952,33,664,1989,26445,0,0,0,0,79,2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,381
daren_farmer_000_1_1.pst.104.xls,10520,19076,32949,4020,3068,1060,39,838,2467,28763,0,0,0,0,127,2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,435
daren_farmer_000_1_1.pst.110.xls,6337,11756,23137,1932,1630,791,25,545,1290,20860,0,0,0,0,47,1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,268
daren_farmer_000_1_1.pst.1427.xls,4919,9325,19789,1431,1245,684,17,474,992,18145,0,0,0,0,31,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,205
daren_farmer_000_1_1.pst.1499.xls,6326,11756,23126,1959,1641,782,25,545,1301,20849,0,0,0,0,47,1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,268
daren_farmer_000_1_1.pst.284.xls,10522,19080,32951,4024,3070,1055,39,838,2467,28763,0,0,0,0,127,2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,437
daren_farmer_000_1_1.pst.384.xls,10523,19082,32952,4026,3071,1070,39,838,2467,28763,0,0,0,0,127,2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,438
daren_farmer_000_1_1.pst.387.xls,12398,22817,37050,4960,3653,1206,53,919,2961,32191,0,0,0,0,127,3409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,512
daren_farmer_000_1_1.pst.388.xls,19073,35741,51945,8462,5994,1650,107,1321,4844,44357,0,0,0,0,192,5392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,851
joe_parks_000_1_1.pst.211.xls,22067,41307,58870,10091,7017,1894,130,1552,5656,49900,0,0,0,0,224,6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,1007
joe_parks_000_1_1.pst.213.xls,23583,44125,62356,10931,7546,2019,146,1660,6066,52694,0,0,0,0,240,6880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,1094
