fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
ML_Flatsheet_Revised.Asset.xlsx,ML_Flatsheet_Revised Updated:H11736,99,1,0,1,0
ExampleStudy.xlsx,Sources:E16,252,106,1,105,1
input_UC_iix2.xlsx,wind_test:I206,7937,4,1,4,1
KickstarterChallengeWColDeletes.xlsx,Kickstarter:J2877,170,2,0,2,0
bank_term_deposit.xlsx,DAILY RANGE:C11,79,6,1,2,1
advance_excel_project.xlsx,Sheet7 (2):D3,208,4,0,1,0
工作簿1 - 副本-20181124102119337.xlsx,不良明细:CEA5,98,2,0,1,0
qpcr_template_ottawa_wide.xlsx,Ottawa community data:AG5,193,535,3,534,4
Copy of mytable_customer_details- solution.xlsx,mytable_customer_details:K1681,1437,4,0,3,0
enem_2012.xlsx,Sheet1:J127,88,1,0,1,0
Train_dataset (1).xlsx,Diuresis_TS:F6298,83,1,0,1,0
CL2.xlsx,Sheet30:B61,202,7,0,6,0
Fact2Sheet_Corona_20200605.xlsx,ComparisonInf:F2,234,192,0,1,0
6502.xlsx,シート1:K3,607,1024,11,34,11
new_inventory.xlsx,Skin-Investments:A72,1996,1557,21,1557,22
VIL-2018-10.xlsx,22:AE12,98,14,0,14,0
