fileName,Max Dep Ref,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
dutch_quigley_000_1_1.pst.210.xls,Swap:D11,47,0,44,0
don_baughman_000_1_1.pst.202.xls,8-1:C20,37,0,21,0
robin_rodrigue_000_1_1.pst.53.xls,PrudCalc:AD7,0,0,0,0
mary_fischer_000_1_1.pst.140.xls,Curtailment Periods - Hourly:Z24,121,1,120,1
louise_kitchen_000_1_1_1_1.pst.246.xls,Cost Cancel Details:C58,335,3,335,4
louise_kitchen_000_1_1_1_1.pst.252.xls,Cost Cancel Details:C58,335,3,335,4
vkaminski_003_1_1_1.pst.73.xls,SpotCurves:F4,26,1,16,1
joe_stepenovitch_000_1_1.pst.15.xls,DATA:F1380,2,0,1,0
john_griffith_000_1_1.pst.146.xls,FGT Z2 Supply:B10,69,0,69,0
vkaminski_000_1_1_1.pst.173.xls,LEAD:B3288,7,0,5,0
daren_farmer_000_1_1.pst.1131.xls,Mar:I16,18,0,14,0
vkaminski_001_1_2_1.pst.100.xls,Forward Curves:C8,26,0,26,0
fletcher_sturm_000_1_1.pst.44.xls,Mar01:C62,84,1,82,1
vkaminski_001_1_2_1.pst.98.xls,Expiration Dates:F9,5,0,3,0
andy_zipper_000_1_1.pst.28.xls,TRANSACTIONSUMMARYREPORT -1:N4780,4,0,4,0
chris_germany_000_1_2.pst.1046.xls,Sheet2:K231,127,1,126,1
don_baughman_000_1_1.pst.193.xls,Sheet1:C20,37,0,21,0
chris_germany_000_1_2.pst.163.xls,gatherco:J3,104,1,104,1
john_griffith_000_1_1.pst.147.xls,FGT Z2 Supply:B10,69,0,69,0
louise_kitchen_000_1_1_1_1.pst.247.xls,Cost Cancel Details:C58,335,4,335,4
craig_dean_000_1_1.pst.35.xls,SelfServeLoads:D24,3,0,3,0
chris_germany_000_1_1_1.pst.84.xls,Total Reqs:J65,251,2,251,2
darron_c_giron_000_1_1_1.pst.194.xls,PRD Location_Def:K3439,2,0,2,0
harry_arora_000_1_1.pst.12.xls,Gas Curves:BV2,0,0,0,0
john_arnold_000_1_2.pst.326.xls,model3:C20,46,0,46,0
harry_arora_000_1_1.pst.130.xls,WorkingData:E3,5,0,4,0
don_baughman_000_1_1.pst.150.xls,Sheet1:C20,37,0,21,0
matthew_lenhart_000_1_1.pst.1.xls,Power Curve:J5,57,1,31,1
matthew_lenhart_001_1_1.pst.145.xls,OP.Power Desk Daily Price:B7,3,0,3,0
kim_ward_000_1_2.pst.383.xls,Sales:C9,30,0,27,0
benjamin_rogers_000_1_1.pst.105.xls,STRIPS:W25,85,1,85,1
lindy_donoho_000_1_1_1.pst.11.xls,WOT by Month thru 2010:H32,225,1,216,1
andy_zipper_000_1_1.pst.78.xls,DD-ENA:F500,4,0,4,0
andy_zipper_000_1_1.pst.167.xls,Deal Detail:B9,1,0,1,0
don_baughman_000_1_1.pst.144.xls,Sheet1:C20,37,0,21,0
don_baughman_000_1_1.pst.101.xls,Sheet1:C20,37,0,21,0
larry_campbell_000_1_1.pst.502.xls,Sheet1:C20,37,0,21,0
don_baughman_000_1_1.pst.187.xls,Sheet1:C20,37,0,21,0
vkaminski_001_1_2_1.pst.62.xls,5b. 7.3:D4,1042,12,1042,12
andy_zipper_000_1_1.pst.84.xls,TRANSACTIONSUMMARYREPORT -1:N4780,4,0,4,0
chris_germany_000_1_2.pst.208.xls,Jan 01 trial:AW14,13,0,13,0
paul_y'barbo_000_1_1.pst.127.xls,USGT 500616:G12,41,0,41,0
