fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime,RR-Chain_Comp,RR-Chain_NoComp,RR_Comp,RR_NoComp,RF_Comp,RF_NoComp,FR_Comp,FR_NoComp,FF_Comp,FF_NoComp,RRGapOne_Comp,RRGapOne_NoComp,RRGapTwo_Comp,RRGapTwo_NoComp,RRGapThree_Comp,RRGapThree_NoComp,RRGapFour_Comp,RRGapFour_NoComp,RRGapFive_Comp,RRGapFive_NoComp,RRGapSix_Comp,RRGapSix_NoComp,RRGapSeven_Comp,RRGapSeven_NoComp,NoComp_Comp,NoComp_NoComp
YODA_TimeSeries_TEMPLATE_DRAFT.xlsx,11498,11002,21994,8,6,161,2,10996,2,10996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Base de datos clientes ventas v7.xlsx,53916,80890,215266,33,41,3257,2,5453,34,166748,0,0,0,0,4,10832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
New_Crude_All_manipulated.xlsx,10860,16360,16177,19,10,89,3,5540,4,5495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
check 3.xlsx,90257,159285,185822,40,36,2384,1,5311,31,153974,0,0,0,0,1,5311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
В12УВ_03_20160111 full.xlsx,10506,26265,31515,7,4,269,1,5252,3,15759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChenCowan.2005.2009.details.xlsx,5200,15603,26000,7,5,286,1,5200,2,10400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ВА12ОН_02_20151204 full.xlsx,10206,25515,30615,7,4,224,1,5102,3,15309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multilateral - 32banks_40000txns - Final - Copy.xlsx,105090,150190,175112,235,125,2035,20,69988,69,90108,0,0,0,0,12,14992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
Outer_BaseLine.xlsx,9355,13711,18062,9,5,125,1,4999,2,8708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Day_11_Sampling-distribution-example_Sample-size-effect_Confidence-Intervals.xlsx,12524,12857,18439,568,539,431,2,5098,104,406,0,0,0,0,109,12608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,324
Sampling-distribution-example_Sample-size-effect_Confidence-Intervals.xlsx,22407,23038,35011,1058,1041,524,4,10196,206,1200,0,0,0,0,220,23004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,611
Simulate-Price-Stocks.xlsx,44999,85000,44999,18,9,499,1,4999,8,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YODA_TimeSeries_TEMPLATE_HeaderOnly.xlsx,10499,10000,19990,8,6,141,2,9994,2,9994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
控制图.xlsx,14989,39956,29958,16,10,245,1,4989,7,24966,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1.ejemplo a replicar.xlsx,155796,276656,311733,1282,1335,4361,55,4895,482,156761,0,0,0,0,334,149613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,464
Обработка положение лежа.xlsx,55601,72899,331142,134,322,8837,2,2468,271,324810,0,0,0,0,30,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19
