fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
employmentForecast_presto.xlsx,dataOrig:L42,171,11,1,11,1
StarterBook_SC.xlsx,Bonus:D4,313,9,1,9,1
工作簿1 - 副本-20181123095141663.xlsx,不良明细:CEA5,102,2,0,1,0
GPSC_CTD_2016.4.25.xlsx,CTD:Q16587,146,1,0,1,0
ML_Flatsheet_Revised.Asset.xlsx,ML_Flatsheet_Revised Updated:H11736,102,1,0,1,0
ExampleStudy.xlsx,Sources:E16,203,106,2,105,2
input_UC_iix2.xlsx,wind_test:I206,8194,4,0,4,0
KickstarterChallengeWColDeletes.xlsx,Kickstarter:J2877,176,2,0,2,0
bank_term_deposit.xlsx,DAILY RANGE:C11,83,6,0,2,0
advance_excel_project.xlsx,Sheet7 (2):D3,221,4,0,1,0
工作簿1 - 副本-20181124102119337.xlsx,不良明细:CEA5,99,2,0,1,0
qpcr_template_ottawa_wide.xlsx,Ottawa community data:AG5,197,4,0,2,0
Copy of mytable_customer_details- solution.xlsx,mytable_customer_details:K1681,1460,4,0,3,0
enem_2012.xlsx,Sheet1:J127,158,1,0,1,0
Train_dataset (1).xlsx,Diuresis_TS:F6298,238,1,0,1,0
CL2.xlsx,Sheet30:B61,211,7,1,6,1
Fact2Sheet_Corona_20200605.xlsx,ComparisonInf:F2,322,192,1,1,1
6502.xlsx,シート1:K3,578,1024,15,34,15
new_inventory.xlsx,Skin-Investments:A72,2116,1557,40,1557,41
VIL-2018-10.xlsx,22:AE12,98,1,0,1,0
