fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
2019-06-15-0720_dryopteris_carthusiana.xlsx,Measurements:E13,522,6600,251,6600,256
Input_data_general.xlsx,Prod_limit_country:D1,2224,30,0,1,0
Sta Hujan Pegasing.xlsx,Bulanan:A68,112,32,0,32,0
Sendy.xlsx,Raw Data:H508735,416,4567,57,1,59
工作簿1 - 副本-20181123094545958.xlsx,不良明细:CBJ5,110,2,0,1,0
Vinci.xlsx,n100:L7,833,33875,1013,33875,1068
CDBG FY18.xlsx,reallocations and reductions:I9,133,39,0,3,0
credit_test_my_data_1.xlsx,Лист1:X4105,437,1,0,1,0
DT-2020-N-B53-TT343-56.xlsx,40:BA1131,1289,0,0,0,0
Apple Appstore Data.xlsx,Apple Appstore Data:J4599,208,1,0,1,0
timeseries_tracertest_Kortright_7hr.xlsx,Hydrograph_TracerTest:D544,430,5608,56,1,56
2019-05-13-0954_abies_pinsapo.xlsx,Measurements:E13,314,6600,130,6600,136
outputTablesState.xlsx,7.3_FL_WA:AK19,2309,11,0,11,0
REMISIONES--MARZO    --- 2 0 1 5.xlsx,OBRADOR REM :A2,1010,265,2,265,3
Skill_Data_PD2.xlsx,Sheet1:B833,372,179,3,179,3
KickStarter My Chart.xlsx,Bonus-Goals:B3,303,4,0,1,0
analysis_step_wise_l1.xlsx,normalizing:D245,61,979,14,979,15
Reference Ch. test@1M SPL PCB Display ON_210216.xlsx,FFT_R2R5@Port Type:D36832,5312,2,0,1,0
charitychoice.co.uk.xlsx,Charitychoice.co.uk Data:E20796,3896,1,0,1,0
2019-05-16-1035_empty_racir.xlsx,Measurements:E13,1014,6600,280,6600,294
StarterBook - Alon Rosner.xlsx,Data:N3628,410,2,0,1,0
工作簿1 - 副本-20181126100441319.xlsx,不良明细:CBJ5,250,2,0,1,0
SMOK.xlsx,Arkusz1:A2,511,14011,773,14010,783
Ashley County Medical Center.xlsx,OP Services:E2205,4456,25,0,4,0
Objectlist2.xlsx,Tabelle4:E22,432,2,0,2,0
1.1 3.17. Practical example. Confidence intervals_lesson.xlsx.xlsx,Al Bundy:C14970,887,14967,239,3,246
data-1-1-3-StarterBook.xlsx,Kickstarter:D3797,240,1,0,1,0
zacni_0.xlsx,Percentiles:B2,787,6064,435,6063,439
Excel_Crowdfunding_data.xlsx,Stat_Analysis:C14,236,5,0,1,0
2020年慢病预算(12.12调整稿).xlsx,老店新客门店:CA11,940,14,0,12,0
7.1.Practical-example.Confidence-intervals-lesson.xlsx,Al Bundy:C14970,754,14967,202,3,210
(1)27-B.xlsx,27-B:C104702,1247,1,1,1,1
