fileName,Longest Dep Ref,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
LLC-RESONANT-HALF-BRIDGE-CONVERTER-DESIGN-TOOL-FOR-FAN7688 - 750315915.xlsx,Sheet3:A7,205,2,103,2
plane_based_Observations.xlsx,Sheet6:E42,4,0,4,0
summer project.xlsx,Sheet1:AJ6,0,0,0,0
Data_for_ML.xlsx,Yangon_Covid_active_cases:N198,43,0,1,0
Optimization (Monthly)- Cons. Disc..xlsx,Analysis:C20,37,0,8,0
CAR_FORMULARIO_OFFILINE.xlsx,Dashboard:B55,9,0,1,0
mary_fischer__25393__yr 2001 Commissioning Summary 2-26-02.xlsx,Feb 2002:C195,11,0,7,0
KBandFilter.xlsx,20GHZ:I1172,1,0,1,0
SSV1b_TimeRange.xlsx,Sheet1:C12979,2,0,2,0
California Correlation Weekly (export).xlsx,Cases Analysis_final:EB45,2,0,1,0
ecosystems_calculations_20211130.xlsx,0107:F79,15,0,4,0
2019-05-10-1102_empty_racir.xlsx,Measurements:C11,5610,133,1980,136
GL_Driver_Safety_Report_ferguson_20211022_151701.xlsx,Pivot Tables:M8,1,0,1,0
freezeExample.xlsx,Sheet:C21947,1,0,1,0
Residents_Aggregated.xlsx,Summary:I285,2,0,2,0
GLC Inflation month end data_1979 to 15.xlsx,1. fwds- short end:B4,71,0,2,0
02-2017 ST Giant.xlsx,VPP Giant 02-2017:Q20,6,0,2,0
Domestic_Q1_Q4_2015_Central.xlsx,ลพบุรี:MM2,0,0,0,0
AfDD_2022_TradeStats - Export regions (time series).xlsx,OECDGraphCopy:T31,1,0,1,0
ltc.xlsx,dash:B1975,7,0,5,0
DP_ speed_and_formulas.xlsx,Jedna stránka:E62,4,0,2,0
TestTable.xlsx,Таблица по выездам:AG330,0,0,0,0
Trabalho de OP - Mayta S Custodio.xlsx,matriz e solver:C21,4,0,4,0
20204-0.xlsx,Calcu_ADJ:L3,1301,21,261,21
dist.xlsx,triangular:G2,1001,17,3,17
LouisvilleMetro_Covid-19_Data_November172020.xlsx,Mann-Kendall Trend Tests - BETA:A37,30,0,5,0
StandardNormalDistribution.xlsx,PDF(ProbabilityDistributionFunc:S4,21,0,1,0
DASCUCINPUT1.xlsx,RESERVECOST:B60,1,0,1,0
2-8-2019.xlsx,Summary:B3,30,0,1,0
dataExam2016.xlsx,GARCH:B104,2,0,1,0
EUR_DEMO_CurvesBootstrapping.xlsx,EURON:AI23,0,0,0,0
test-answer-epsilon.4-2.xlsx,test-answer:E49,1,0,1,0
Ag Sankey.xlsx,data to plot - old:E8,2,0,2,0
ujian tahfidz dicetak.xlsx,ujian:A9,42,0,21,0
LucasBouissa_1_Lucas1.xlsx,No modificar!!:C65,42,0,18,0
Data_original.xlsx,e:I4,1,0,1,0
REPORTE_MENSUAL_mes_de_abril_JAVIER_2.xlsx,RMI - ABRIL 2017:T21,4,0,1,0
VQAT_Stock forecast for each and all stores.xlsx,Virgin Megastore QATAR (2019):J11,23,0,12,0
unicorns_data_and_graphs.xlsx,Raw:A11,4,0,4,0
60604ca90abd1.xlsx,Province:B14,1,0,1,0
KickstarterCampaignAnalysis.xlsx,Sheet1:I3390,1,0,1,0
4.2012.xlsx,ფორმა N 8.1:C17,26,0,1,0
Ranking_2020-11-19.xlsx,avrange of n:K495,1,0,1,0
工作簿1-20181123094550279.xlsx,不良明细:CEA5,2,0,1,0
All London 2012 athletes.xlsx,ALL ATHLETES:I10356,1,0,1,0
datacite_template_20200424_test.xlsx,metadata:BAL33,0,1,0,1
abundance data.xlsx,Protein groups:J7604,1,0,1,0
AllDataSpacing.xlsx,Raw Data:S9270,1,0,1,0
FirstLink - Copy 2.xlsx,lognorm via norm:B4,2011,36,15,36
Enhanced_0-level_11-4-2016.xlsx,Sheet1:E10,25,1,6,1
5_4_합성곱신경망.xlsx,학습:L2,95,2,95,2
all-geocodes-v2018 (1).xlsx,v2018geocodes:G30878,2,0,1,0
EDA.xlsx,training:B23,78,1,23,1
Tio Cash Master 1450old Find Ratio Graph sq and ratio all shaded inverse curve.xlsx,1450 find sq ratio all :I5,596,32,120,33
控制图.xlsx,输入:A11,4989,39,1,39
reference10_0.xlsx,Sheet0:D1391,1,1,1,1
20190614 154055 Cut 2 效益.xlsx,多點斷筋:W22,15,0,6,0
ENE-2016-facturacion-asistencia-tecnica.xlsx,Convenio:D2,2,0,1,0
DegreeAnalysis.xlsx,Sheet1:H11,27,0,3,0
prototipo.xlsx,Hoja1:Q1596,2,0,1,0
Data_Tomate.xlsx,Data_supp_table1Belouah2019:L41,6,0,1,0
代码自测结果表_陈秋明.xlsx,代码自测结果表:I17,2,0,1,0
updatedProduceSales.xlsx,Sheet:C21947,1,0,1,0
FY 2018-2019 Weekly Placements-Returns-Reconciliation Tracker.xlsx,Dailies Summary:C116,312,2,312,2
LR4-2.xlsx,Задание 1:A12,60,0,12,0
relacao_geral_-_vodanet_-_08-05-2013.xlsx,Faturamento:H391,195,2,1,2
top100work_directors.xlsx,sheet3:B41,1,0,1,0
Real-Statistics-Examples-ANOVA-1.xlsx,Anova Resamp 1:T6,247,1,83,1
basecase.xlsx,Propor:N4,35921,774,26941,798
Analysis_Final.xlsx,Bloomberg data:IC1462,0,0,0,0
sampleDistanceCalculations.xlsx,_fit235754964:D2105,5,0,4,0
熱収支 (最終) .xlsx,日射:D6,52,1,52,1
St. Agnes Hospital.xlsx,CDM:L15,2,0,1,0
data_banknote_authentication.xlsx,Data:A38,2474,22,2199,23
DMS(Data Matching Schedule)_R0(Seq2)_220110.xlsx,Gutters:AB44,0,0,0,0
INSERTAR CLIENTES JMURCIA Y GMONTEALEGRE.xlsx,INSERT MUNICIPIO:C136,1,0,1,0
ListBetweenTwoDates.xlsx,Report:D3,28,1,2,1
03_IS_COVID19_DENNI_DATA_risk_vyvoj_2021leden15.xlsx,Výskyt COVID-19 KRAJE:D12,9,0,7,0
KPMG_file.xlsx,NewCustomerList:J259,3,0,1,0
SolicitudGrafica_CN_11_04_CO_REC150.xlsx,Solicitud gráfica:J10,298,3,298,3
Livrable_3-A2_CPi_MdF_Correction_v2.xlsx,Calculs Généraux:G8,62,1,27,1
SSC_grab_samples.xlsx,Grab_raw_input:D501,23,0,6,0
Stock 26.07.20.xlsx,Smartphone Sales Report:C5,54,1,27,1
NAP_XTKB_UNI.xlsx,dt_mh_config:D151,1,0,1,0
Empoyee Master.xlsx,Corrections July 2019:G11,1,0,1,0
Input data.xlsx,Sheet2:N2180,7,0,4,0
Stock 09.03.20.xlsx,Smartphone Sales Report:C4,54,1,27,1
