fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
Quarterly-Engage-UA-Revenue.xlsx,FSM:I1495,2894,7,0,5,0
20204-0.xlsx,Calcu_ADJ:L3,53,1301,12,1301,13
dist.xlsx,triangular:G2,57,1001,8,3,8
Southern Water Corp Statistical Analysis.xlsx,DRT Rolling Stdev:F1298,445,1,0,1,0
Covid SJC.xlsx,Planilha1:B2,182,337,3,306,3
工作簿1 - 副本-20181124101521380.xlsx,不良明细:CEA5,99,2,0,1,0
تستور.xlsx,المشاريع:A3,163,355,1,1,1
RE6685.xlsx,RE6685:C4071,361,1,1,1,1
ABACUS_NUMSPECSTOT (Autosaved).xlsx,ABACUS_NUMSPECSTOT:AA8433,2292,0,0,0,0
2020-09 Cleaned.xlsx,202009-divvy-tripdata:D26632,2335,1,0,1,0
VQAT_Stock forecast for each and all stores.xlsx,Virgin Megastore QATAR (2019):J11,252,23,0,23,0
vicon_udp_teensy.xlsx,less_didgits_200Hz_xbee:B1419,2827,3,0,1,0
2019-07-18-0854_angelica_archangelica.xlsx,Measurements:C11,319,5610,55,5610,62
KickstarterCampaignAnalysis.xlsx,Sheet1:I3390,249,1,0,1,0
工作簿1-20181123094550279.xlsx,不良明细:CEA5,100,2,0,1,0
All London 2012 athletes.xlsx,ALL ATHLETES:I10356,82,1,0,1,0
datacite_template_20200424_test.xlsx,metadata:BAL33,219,0,0,0,0
abundance data.xlsx,Protein groups:J7604,213,1,0,1,0
AllDataSpacing.xlsx,Raw Data:S9270,645,1,0,1,0
FirstLink - Copy 2.xlsx,lognorm via norm:B4,793,2011,18,19,19
Enhanced_0-level_11-4-2016.xlsx,Sheet1:E10,150,25,1,6,1
5_4_합성곱신경망.xlsx,학습:L2,225,95,1,95,1
all-geocodes-v2018 (1).xlsx,v2018geocodes:G30878,898,2,0,1,0
EDA.xlsx,training:B23,82,78,0,78,0
Tio Cash Master 1450old Find Ratio Graph sq and ratio all shaded inverse curve.xlsx,1450 find sq ratio all :I5,253,596,4,596,4
控制图.xlsx,输入:A11,273,4989,36,1,36
reference10_0.xlsx,Sheet0:D1391,162,1,0,1,0
Twin_house_O5_exp1_10minR1_volum.xlsx,Twin_house_O5_exp1_10min:D41,1837,6,0,4,1
Texas Local Governments.xlsx,GSA SAM Data:M3684,32,1,0,1,0
updatedProduceSales.xlsx,Sheet:C21947,397,1,0,1,0
AdimAdimVeriMadencisi-07_RapidMiner-01_RegresyonBitcoin.xlsx,bitcoinEMA:B6,185,6357,42,6356,47
FY 2018-2019 Weekly Placements-Returns-Reconciliation Tracker.xlsx,Dailies Summary:C116,783,312,2,312,2
relacao_geral_-_vodanet_-_08-05-2013.xlsx,Faturamento:H391,146,195,1,1,1
【第8回当日配布料】問題演習_第2回_確率.xlsx,【解答】（演習問題２）NYの気温データ :B14,831,24757,143,1,146
Real-Statistics-Examples-ANOVA-1.xlsx,Anova Resamp 1:T6,86,247,1,247,1
basecase.xlsx,Propor:N4,1578,35921,376,35921,425
Analysis_Final.xlsx,Bloomberg data:IC1462,1282,0,0,0,0
sampleDistanceCalculations.xlsx,_fit235754964:D2105,2296,5,1,5,1
uniworld_dipimp_test.xlsx,American Affiliates:R7647,1403,1,0,1,0
data_banknote_authentication.xlsx,Data:A38,212,2474,20,2199,22
DMS(Data Matching Schedule)_R0(Seq2)_220110.xlsx,Gutters:AB44,633,0,0,0,0
