fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
MatrizTransición.xlsx,3X3INBURSA:H2900,777,13,0,13,0
brti_excel_analysis.xlsx,brti_excel:B1728,83,1,0,1,0
SSV1b_TimeRange.xlsx,Sheet1:P2,1018,16833,234,1,239
ecosystems_calculations_20211130.xlsx,0107:D66,184,21,0,2,0
2019-05-10-1102_empty_racir.xlsx,Measurements:E13,374,6600,100,6600,103
工作簿1-20181122163651735.xlsx,不良明细:CBJ5,184,2,0,1,0
freezeExample.xlsx,Sheet:C22908,325,1,0,1,0
DailyTradeCounts_2016_2020.xlsx,20160101_20181130:K7647,492,1,0,1,0
Measurements_Temperature_DutyCycle.xlsx,Feuil1:D1,154,2837,15,2836,17
2019-07-03-1019_rhododendron_campylocarpum.xlsx,Measurements:C13,366,6600,97,6600,101
peerrank copy.xlsx,figure3 data:BO469,3742,1,0,1,0
GL_Driver_Safety_Report_ferguson_20211031_095848.xlsx,Report:Y5,58,2526,21,1,21
lenderToProyek.xlsx,Sheet1:I5345,4853,4,0,3,0
TestTable.xlsx,Таблица по выездам:AE403,275,0,0,0,0
Quarterly-Engage-UA-Revenue.xlsx,Arcade FSM:K17,2663,84,1,84,1
20204-0.xlsx,Calcu_ADJ:G3,50,1304,20,1304,21
dist.xlsx,triangular:F2,102,1001,16,3,16
Southern Water Corp Statistical Analysis.xlsx,DRT Rolling Stdev:O9,240,2452,32,1,33
Covid SJC.xlsx,Dados sim recup log:B600,126,388,4,384,5
工作簿1 - 副本-20181124101521380.xlsx,不良明细:CBJ5,95,2,0,1,0
تستور.xlsx,المشاريع:A3,173,355,2,1,2
RE6685.xlsx,RE6685:E5993,242,1,0,1,0
ABACUS_NUMSPECSTOT (Autosaved).xlsx,ABACUS_NUMSPECSTOT:AS1505,1747,1,0,1,0
2020-09 Cleaned.xlsx,202009-divvy-tripdata:C37203,1659,2,0,1,0
VQAT_Stock forecast for each and all stores.xlsx,MOQ-306:BC10,148,0,0,0,0
vicon_udp_teensy.xlsx,200Hz_with_extra_64_python_xbee:B2,2730,11635,115,11635,122
2019-07-18-0854_angelica_archangelica.xlsx,Measurements:E13,379,6600,105,6600,109
KickstarterCampaignAnalysis.xlsx,Sheet1:E3021,182,2,0,1,0
工作簿1-20181123094550279.xlsx,不良明细:CBJ5,181,2,0,1,0
All London 2012 athletes.xlsx,ALL ATHLETES:K9909,151,1,0,1,0
datacite_template_20200424_test.xlsx,metadata:A78,205,10,0,2,0
abundance data.xlsx,Protein groups:AA6263,112,0,0,0,0
AllDataSpacing.xlsx,Raw Data:M4219,442,1,0,1,0
FirstLink - Copy 2.xlsx,logt via t:A4,629,8007,161,8007,165
Enhanced_0-level_11-4-2016.xlsx,Sheet1:A17,66,996,8,996,9
5_4_합성곱신경망.xlsx,학습:E16,155,4514,60,4514,63
all-geocodes-v2018 (1).xlsx,v2018geocodes:G7903,1254,2,0,1,0
EDA.xlsx,training:C6273,102,100,1,100,1
Tio Cash Master 1450old Find Ratio Graph sq and ratio all shaded inverse curve.xlsx,1450 find sq ratio all :I5,236,596,4,596,4
控制图.xlsx,输入:C11,163,4989,38,1,38
reference10_0.xlsx,Sheet0:B1011,106,1,0,1,0
Twin_house_O5_exp1_10minR1_volum.xlsx,Twin_house_O5_exp1_10min:D6318,1336,12620,279,12620,286
Texas Local Governments.xlsx,GSA SAM Data:M3768,289,1,1,1,1
updatedProduceSales.xlsx,Sheet:C22908,275,1,0,1,0
AdimAdimVeriMadencisi-07_RapidMiner-01_RegresyonBitcoin.xlsx,bitcoinEMA:B7,159,9528,90,9528,95
FY 2018-2019 Weekly Placements-Returns-Reconciliation Tracker.xlsx,Dailies Summary:C100,698,312,2,312,3
relacao_geral_-_vodanet_-_08-05-2013.xlsx,Faturamento:H391,96,195,1,1,1
【第8回当日配布料】問題演習_第2回_確率.xlsx,（演習問題２）NYの気温データ:B14,587,24757,174,1,177
Real-Statistics-Examples-ANOVA-1.xlsx,Anova Resamp 1:T6,89,247,2,247,2
basecase.xlsx,Timeseries:F7487,1100,100,1,1,1
Analysis_Final.xlsx,Graphs_RETURNS COMPARISON:O218,1108,12,0,9,0
sampleDistanceCalculations.xlsx,_fit235754964:D36,1976,6,0,6,0
uniworld_dipimp_test.xlsx,American Affiliates:E7092,1082,1,0,1,0
data_banknote_authentication.xlsx,Data:M2,174,9884,108,9884,115
DMS(Data Matching Schedule)_R0(Seq2)_220110.xlsx,Gutters:AB86,496,0,0,0,0
StarterBookH Homework .xlsx,Bonus Backers Count:B813387,356,6,0,1,0
10gen_stwd_pct.xlsx,Lt Gov to Voting Statistics:M42,63,17,0,17,0
KPMG_file.xlsx,NewCustomerList:W368,442,1000,12,1,13
Weather_Machakos-5PFA.xlsx,MK135PFA:K8457,1794,1,0,1,0
Supplemental_File_2.xlsx,Metab Abbr iJR904:B225757,1767,761,6,1,7
Weekly-covid-admissions-and-beds-publication-201105.xlsx,MV beds COVID:B893,92,760,7,760,7
Empoyee Master.xlsx,Corrections July 2019:C86,254,1,0,1,0
Input data.xlsx,Sheet2:Q2060,288,7,0,2,0
工作簿1-20181122164802462.xlsx,不良明细:CBJ5,95,2,0,1,0
big+troubles.xlsx,Action List:T26,91,3098,1074,3098,1076
