fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
SAM-0.2 OR30x100-0.75_4 dataset analysis.xlsx,State026:B88,344,6,0,1,0
DPS Calculator - Ninja.xlsx,Weaponskill:B543,175,1536,16,1536,17
BBG_Security_Application_User_List_v5_1.xlsx,Position:BF5,8692,1317,11,1,12
Pro-Forma_Report_08012015_07_49_26.xlsx,Venues:B75,58,420,5,420,5
Quizzes_17.2_17.3.xlsx,Quiz 17.3:D1,748,37358,594,37358,620
valores_produtos.xlsx,dados:E2,239,1,0,1,0
Spreadsheet_Challenge_V2.xlsx,pivot (5):G18,294,31,0,31,0
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,REMISIONES ABRIL  2016  :B3,716,4062,67,1,67
工作簿1-20181122154759510.xlsx,不良明细:CBJ5,105,2,0,1,0
Raw.xlsx,calcs:BE53,61,0,0,0,0
P_Gh_T_S.xlsx,Sheet1:C1003,57,2,0,2,0
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,Thẻ kho:E13,1647,2015,14,3,14
all cases and contacts 2021-07-01.xlsx,summary:C599,1143,36,0,23,0
data_problem.xlsx,PVs:B5,13097,3,0,1,0
EST_TRANS.xlsx,DATOS:B10219,378,1,0,1,0
MM2-0530H.xlsx,P1dB Pt:R17,146,12,0,2,0
红宝集合.xlsx,最初完整版（音频路径有误）:A6507,489,1,0,1,0
Excel模拟神经网络进行4000次迭代.xlsx,Sheet1:B4,1767,63944,1255,63943,1294
Situk 1988-2021 95%_MissFill--Heinl--17_Dec_2021.xlsx,WhatWasMissed_4Day:U118,54,102,0,102,0
healthcare-dataset-stroke-data by akhilesh mishra.xlsx,healthcare-dataset-stroke-data:K1274,61,1,0,1,0
物理作业11.xlsx,Sheet1:IR152,1199,149,1,1,1
NHL 2007-08.xlsx,Players:AQ1085,1171,0,0,0,0
mary_fischer__25393__yr 2001 Commissioning Summary 2-26-02.xlsx,Feb 2002:A9,105,858,12,850,12
KBandFilter.xlsx,20GHZ:E926,160,1,0,1,0
MatrizTransición.xlsx,3X3INBURSA:H2900,785,13,0,13,0
brti_excel_analysis.xlsx,brti_excel:B1728,246,1,0,1,0
SSV1b_TimeRange.xlsx,Sheet1:P2,1113,16833,188,1,194
ecosystems_calculations_20211130.xlsx,0107:D66,195,21,0,2,0
2019-05-10-1102_empty_racir.xlsx,Measurements:E13,329,6600,108,6600,112
工作簿1-20181122163651735.xlsx,不良明细:CBJ5,100,2,0,1,0
freezeExample.xlsx,Sheet:C22908,405,1,0,1,0
DailyTradeCounts_2016_2020.xlsx,20160101_20181130:K7647,433,1,0,1,0
Measurements_Temperature_DutyCycle.xlsx,Feuil1:D1,57,2837,17,2836,19
2019-07-03-1019_rhododendron_campylocarpum.xlsx,Measurements:C13,368,6600,126,6600,129
peerrank copy.xlsx,figure3 data:BO469,3986,1,0,1,0
GL_Driver_Safety_Report_ferguson_20211031_095848.xlsx,Report:Y5,55,2526,20,1,21
lenderToProyek.xlsx,Sheet1:I5345,4716,4,0,3,0
TestTable.xlsx,Таблица по выездам:AE403,264,0,0,0,0
Quarterly-Engage-UA-Revenue.xlsx,Arcade FSM:K17,2833,84,1,84,1
20204-0.xlsx,Calcu_ADJ:G3,48,1304,20,1304,21
dist.xlsx,triangular:F2,103,1001,40,3,40
Southern Water Corp Statistical Analysis.xlsx,DRT Rolling Stdev:O9,290,2452,29,1,30
Covid SJC.xlsx,Dados sim recup log:B600,200,388,6,384,6
工作簿1 - 副本-20181124101521380.xlsx,不良明细:CBJ5,94,2,0,1,0
تستور.xlsx,المشاريع:A3,117,355,2,1,2
RE6685.xlsx,RE6685:E5993,313,1,0,1,0
ABACUS_NUMSPECSTOT (Autosaved).xlsx,ABACUS_NUMSPECSTOT:AS1505,1570,1,0,1,0
2020-09 Cleaned.xlsx,202009-divvy-tripdata:C37203,1698,2,0,1,0
VQAT_Stock forecast for each and all stores.xlsx,MOQ-306:BC10,206,0,0,0,0
vicon_udp_teensy.xlsx,200Hz_with_extra_64_python_xbee:B2,2746,11635,116,11635,123
2019-07-18-0854_angelica_archangelica.xlsx,Measurements:E13,374,6600,96,6600,100
KickstarterCampaignAnalysis.xlsx,Sheet1:E3021,144,2,0,1,0
工作簿1-20181123094550279.xlsx,不良明细:CBJ5,189,2,0,1,0
All London 2012 athletes.xlsx,ALL ATHLETES:K9909,55,1,0,1,0
datacite_template_20200424_test.xlsx,metadata:A78,222,10,0,2,0
abundance data.xlsx,Protein groups:AA6263,121,0,1,0,1
AllDataSpacing.xlsx,Raw Data:M4219,431,1,0,1,0
FirstLink - Copy 2.xlsx,logt via t:A4,581,8007,146,8007,150
Enhanced_0-level_11-4-2016.xlsx,Sheet1:A17,71,996,8,996,8
5_4_합성곱신경망.xlsx,학습:E16,174,4514,56,4514,59
all-geocodes-v2018 (1).xlsx,v2018geocodes:G7903,1176,2,0,1,0
EDA.xlsx,training:C6273,172,100,0,100,0
Tio Cash Master 1450old Find Ratio Graph sq and ratio all shaded inverse curve.xlsx,1450 find sq ratio all :I5,211,596,5,596,5
控制图.xlsx,输入:C11,197,4989,35,1,35
reference10_0.xlsx,Sheet0:B1011,107,1,0,1,0
Twin_house_O5_exp1_10minR1_volum.xlsx,Twin_house_O5_exp1_10min:D6318,1270,12620,280,12620,287
Texas Local Governments.xlsx,GSA SAM Data:M3768,318,1,0,1,0
updatedProduceSales.xlsx,Sheet:C22908,274,1,0,1,0
AdimAdimVeriMadencisi-07_RapidMiner-01_RegresyonBitcoin.xlsx,bitcoinEMA:B7,206,9528,83,9528,88
FY 2018-2019 Weekly Placements-Returns-Reconciliation Tracker.xlsx,Dailies Summary:C100,708,312,2,312,2
relacao_geral_-_vodanet_-_08-05-2013.xlsx,Faturamento:H391,109,195,1,1,1
【第8回当日配布料】問題演習_第2回_確率.xlsx,（演習問題２）NYの気温データ:B14,540,24757,202,1,205
Real-Statistics-Examples-ANOVA-1.xlsx,Anova Resamp 1:T6,64,247,2,247,2
basecase.xlsx,Timeseries:F7487,1140,100,1,1,1
Analysis_Final.xlsx,Graphs_RETURNS COMPARISON:O218,1035,12,1,9,1
sampleDistanceCalculations.xlsx,_fit235754964:D36,1913,6,0,6,0
uniworld_dipimp_test.xlsx,American Affiliates:E7092,1144,1,0,1,0
data_banknote_authentication.xlsx,Data:M2,174,9884,130,9884,136
DMS(Data Matching Schedule)_R0(Seq2)_220110.xlsx,Gutters:AB86,513,0,0,0,0
StarterBookH Homework .xlsx,Bonus Backers Count:B813387,302,6,0,1,0
10gen_stwd_pct.xlsx,Lt Gov to Voting Statistics:M42,55,17,0,17,0
KPMG_file.xlsx,NewCustomerList:W368,405,1000,14,1,14
Weather_Machakos-5PFA.xlsx,MK135PFA:K8457,1529,1,0,1,0
Supplemental_File_2.xlsx,Metab Abbr iJR904:B225757,1868,761,6,1,6
Weekly-covid-admissions-and-beds-publication-201105.xlsx,MV beds COVID:B893,60,760,8,760,8
Empoyee Master.xlsx,Corrections July 2019:C86,347,1,0,1,0
Input data.xlsx,Sheet2:Q2060,268,7,0,2,0
工作簿1-20181122164802462.xlsx,不良明细:CBJ5,191,2,0,1,0
